Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Hishammuddin Hussein,BN-UMNO,19575-88.29%,16978-76.58%
12,2008,2013,Hishammuddin Hussein,BN-UMNO,17988-73.70%,11570-47.40%
13,2013,2018,Hishammuddin Hussein,BN-UMNO,22841-65.17%,10631-34.83%
14,2018,2022,Hishammuddin Hussein,BN-UMNO,21353-59.24%,6662-18.48%
15,2022,,Hishammuddin Hussein,BN-UMNO,22572-55.15%,10880-26.58%
