Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
9,1995,1999,Kamal Mat Salih,BN-UMNO,35884-81.79%,27894-63.58%
10,1999,2004,Zulhasnan Rafique,BN-UMNO,29997-55.17%,5618-10.34%
11,2004,2008 Yew Teong Look,BN-MCA,23135-64.11%,10185-28.22%
12,2008,2010,Wee Choo Keong,PKR,19637-50.19%,150-0.38%
12.5,2010,2013,Wee Choo Keong,INDEPENDENT,N/A,N/A
13,2013,2018,Tan Kee Kwong,PKR,31641-54.77%,5511-9.54%
14,2018,2022,Tan Yee Kew,PKR,42178-57.30%,24238-32.93%
15,2022,,Zahir Hassan,PH-PKR,46031-49.63%,20696-22.31%
