Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Edmund Chong Ket Wah,BN-PBS,N/A,N/A
12,2008,2010,Edmund Chong Ket Wah,BN-PBS,9479-62.16%,3708-24.32%
12.5,2010,2013,Tsen Thau Lin,BN-PBS,9773-64.22%,6359-41.79%
13,2013,2018,Tsen Thau Lin,BN-PBS,13085-57.44%,3798-16.68%
14,2018,2020,Liew Vui Keong,WARISAN,12976-55.78%,4619-19.86%
14.5,2020,2022,,VACANT,N/A,N/A
15,2022,2022,Khairul Firdaus Akbar Khan,GRS-BERSATU,12152-44.95%,4821-17.84%
15.5,2022,2022,Khairul Firdaus Akbar Khan,GRS,N/A,N/A
