Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Vigneswaran Sanasee,BN-MIC,24376-55.25%,8239-18.68%
12,2008,2013,Siti Mariah Mahmud,PAS,38630-68.36%,20751-36.72%
13,2013,2015,Siti Mariah Mahmud,PAS,59106-64.62%,29395-32.14%
13.5,2015,2018,Siti Mariah Mahmud,AMANAH,N/A,N/A
14,2018,2022,Mohamad Sabu,PH-AMANAH,90697-70.79%,71142-55.53%
15,2022,,Mohamad Sabu,PH-AMANAH,123306-63.36%,73998-37.42%
