Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Mohamed Khaled Nordin,BN-UMNO,38123-84.48%,31121-68.96%
12,2008,2013,Mohamed Khaled Nordin,BN-UMNO,35849-65.88%,17281-31.76%
13,2013,2018,Normala Abdul Samad,BN-UMNO,43834-50.54%,935-0.98%
14,2018,2022,Hassan Abdul Karim,PH-PKR,61615-58.68%,24726-23.55%
15,2022,,Hassan Abdul Karim,PH-PKR,71233-47.22%,32558-21.14%
