Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Rozaidah Talib,BN-UMNO,33214-71.13%,19732-42.26%
12,2008,2013,Zuraida Kamaruddin,PKR,26995-53.65%,3676-7.30%
13,2013,2018,Zuraida Kamaruddin,PKR,41969-59.40%,13278-19.80%
14,2018,2020,Zuraida Kamaruddin,PH-PKR,54307-70.94%,41956-54.81%
14.33,2020,2022,Zuraida Kamaruddin,PN-BERSATU,N/A,N/A
14.66,2022,2022,Zuraida Kamaruddin,PBM,N/A,N/A
15,2022,,Rodziah Ismail,56754-54.35%,29681-28.43%
