Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
9,1995,1999,Hishammuddin Hussein,BN-UMNO,28727-87.22%,24518-74.44%
10,1999,2004,Hishammuddin Hussein,BN-UMNO,28376-78.96%,20817-57.92%
11,2004,2008,Adham Baba,BN-UMNO,19706-88.27%,17088-76.54%
12,2008,2013,Halimah Mohamed Sadique,BN-UMNO,19031-79.25%,14049-58.50%
13,2013,2018,Halimah Mohamed Sadique,BN-UMNO,25698-75.14%,17196-50.28%
14,2018,2022,Adham Baba,BN-UMNO,20142-54.39%,5933-16.02%
15,2022,,Manndzri Nasib,BN-UMNO,21185-41.26%,2991-5.83%
