Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Ismail Sabri Yaakob,BN-UMNO,17572-58.26%,4982-16.52%
12,2008,2013,Ismail Sabri Yaakob,BN-UMNO,18297-56.68%,4313-13.36%
13,2013,2018,Ismail Sabri Yaakob,BN-UMNO,21669-51.76%,2143-5.12%
14,2018,2022,Ismail Sabri Yaakob,BN-UMNO,20760-43.89%,2311-4.89%
15,2022,,,Ismail Sabri Yaakob,BN-UMNO,31762-53.34%,16695-28.04%
