Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
4,1974,1978,Abdul Aziz Yeop,BN-UMNO,N/A,N/A
5,1978,1982,Umar Ismail,BN-UMNO,11839-65.97%,5731-31.94%
6,1982,1986,Saidin Mat Piah,BN-UMNO,12885-68.07%,6840-36.14%
11,2004,2008,Mohamed Nazri Abdul Aziz,BN-UMNO,11615-65.74%,5563-31.48%
12,2008,2013,Mohamed Nazri Abdul Aziz,BN-UMNO,9830-54.88%,1749-9.76%
13,2013,2018,Mohamed Nazri Abdul Aziz,BN-UMNO,13005-54.69%,2230-9.38%
14,2018,2022,Mohamed Nazri Abdul Aziz,BN-UMNO,10491-41.50%,2548-10.08%
15,2022,,Azahari Hasan,PN-BERSATU,12931-43.28%,3046-10.20%
