Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
7,1986,1990,Megat Junid Megat Ayub,BN-UMNO,17951-74.95%,11950-49.90%
8,1990,1995,Megat Junid Megat Ayub,BN-UMNO,19787-75.32%,13302-50.64%
9,1995,1999,Megat Junid Megat Ayub,BN-UMNO,21690-82.58%,17115-65.16%
10,1999,2004,Ramli Ngah Talib,BN-UMNO,16792-58.84%,5045-17.68%
11,2004,2008,Ramli Ngah Talib,BN-UMNO,19422-64.11%,8547-28.22%
12,2008,2013,Tajuddin Abdul Rahman,BN-UMNO,16928-54.31%,2688-8.62%
13,2013,2018,Tajuddin Abdul Rahman,BN-UMNO,24875-58.72%,7386-17.44%
14,2018,2022,Tajuddin Abdul Rahman,BN-UMNO,20003-46.04%,7712-17.75%
15,2022,,Jamaluddin Yahya,PN-PAS,24897-43.66%,5003-8.77%
