Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
8,1990,1995,Sulaiman Daud,BN-PBB,12686-80.46%,9606-60.92%
9,1995,1999,Sulaiman Daud,BN-PBB,N/A,N/A
10,1999,2004,Sulaiman Daud,BN-PBB,11878-56.87%,2870-13.74%
11,2004,2008,Fadillah Yusof,BN-PBB,18236-77.09%,12816-54.18%
12,2008,2013,Fadillah Yusof,BN-PBB,19515-79.22%,14397-58.44%
13,2013,2018,Fadillah Yusof,BN-PBB,29559-78.46%,21443-56.92%
14,2018,2018,Fadillah Yusof,BN-PBB,28306-65.91%,15017-34.97%
14.5,2018,2022,Fadillah Yusof,GPS-PBB,N/A,N/A
15,2022,,Fadillah Yusof,GPS-PBB,54745-79.15%,41363-59.80%
