Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Firdaus Muhammad Rom Harun,BN-UMNO,28664-74.12%,18656-48.24%
12,2008,2013,Khairy Jamaluddin,BN-UMNO,26525-56.07%,5746-12.14%
13,2013,2018,Khairy Jamaluddin,BN-UMNO,43053-63.24%,18357-26.96%
14,2018,2022,Khairy Jamaluddin,BN-UMNO,36096-48.87%,4364-5.90%
15,2022,,Mohamad Hasan,BN-UMNO,53075-48.50%,19897-17.58%
