Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Lim Si Cheng,BN-MCA,32278-69.55%,18144-39.10%
12,2008,2013,Ong Ka Ting,BN-MCA,32017-61.23%,11744-22.46%
13,2013,2018,Teo Nie Ching,DAP,43338-58.99%,13450-18.30%
14,2018,2022,Teo Nie Ching,PH-DAP,55312-65.42%,32748-38.73%
15,2022,,Teo Nie Ching,PH-DAP,65529-56.86%,36023-31.26%
