Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
14,2018,2022,Shamsul Iskandar Mohd Akin,PH-PKR,39067-51.01%,8640-11.28%
15,2022,,Adam Adli Abd Halim,PH-PKR,39418-41.71%,8638-9.14%
