Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
8,1990,1995,Wong Sing Nang,DAP,15405-57.40%,3973-14.80%
9,1995,1999,Tiong Thai King,BN-SUPP,18221-53.54%,2408-7.08%
10,1999,2004,Tiong Thai King,BN-SUPP,16256-63.20%,6790-26.40%
11,2004,2008,Tiong Thai King,BN-SUPP,14895-59.42%,4721-18.84%
12,2008,2013,Tiong Thai King,BN-SUPP,19476-57.13%,4864-14.26%
13,2013,2018,Alice Lau Kiong Yieong,DAP,26613-59.68%,8630-19.36%
14,2018,2022,Alice Lau Kiong Yieong,PH-DAP,29905-65.16%,14546-31.70%
15,2022,,Alice Lau Kiong Yieong,PH-DAP,30120-56.89%,11544-21.81%
