Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
9,1995,1999,Mohamad Sabu,PAS,21377-65.52%,10125-31.04%
10,1999,2004,Husam Musa,PAS,25384-73.20%,16091-46.40%
11,2004,2008,Salahuddin Ayub,PAS,21430-57.56%,5627-15.12%
12,2008,2013,Salahuddin Ayub,PAS,27179-62.17%,10642-24.34%
13,2013,2018,Ahmad Baihaki Atiqullah,PAS,35510-65.42%,16741-30.84%
14,2018,2020,Tuan Ibrahim Tuan Man,PAS,35620-56.16%,19369-30.54%
14.5,2020,2022,Tuan Ibrahim Tuan Man,PN-PAS,N/A,N/A
15,2022,,Tuan Ibrahim Tuan Man,PN-PAS,55654-68.38%,40487-50.19%
