Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Md Alwi Che Ahmad,BN-UMNO,20024-53.89%,2888-7.78%
12,2008,2013,Ab Aziz Ab Kadir,BN-UMNO,21738-50.46%,400-0.92%
13,2013,2018,Annuar Musa,BN-UMNO,26912-50.92%,974-1.84%
14,2018,2022,Annuar Musa,BN-UMNO,25467-47.95%,4626-8.71%
15,2022,,Khlir Mohd Nor,PN-BERSATU,40542-64.49%,23107-36.75%
