Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
9,1995,1999,M Mahalingam,BN-MIC,37247-76.43%,25763-52.86%
10,1999,2004,Karnail Singh Nijhar,BN-MIC,36137-55.49%,7152-10.98%
11,2004,2008,Karnail Singh Nijhar,BN-MIC,32941-65.33%,15460-30.66%
12,2008,2013,Sivarasa Rasiah,PKR,35024-55.30%,6709-10.60%
13,2013,2018,Sivarasa Rasiah,PKR,66268-59.73%,26719-24.08%
14,2018,2022,Wong Chen,PH-PKR,104430-83.08%,92353-73.47%
15,2022,,Wong Chen,PH-PKR,138259-77.68%,115074-64.65%
