Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
1,1959,1964,Karam Singh Veriah,SF-PRM,9026-61.49%,3373-22.98%
2,1964,1969,Michael Chen Wing Sum,Alliance-MCA,9148-43.68%,546-2.60%
3,1971,1974,Hor Cheok Foon,DAP,15567-56.29%,3478-12.58%
4,1974,1978,Subramaniam Sinniah,BN-MIC,9763-51.22%,4401-23.09%
5,1978,1982,V David,DAP,21461-47.43%,3222-7.12%
6,1982,1986,Tan Koon Swan,BN-MCA,34659-59.43%,14522-24.90%
14,2018,2022,Tony Pua Kiam Wee,PH-DAP,121283-89.00%,106903-78.44%
15,2022,,Gobind Singh Deo,PH-DAP,142875-81.67%,124619-71.33%
