Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
14,2018,2022,Lim Kit Siang,PH-DAP,80726-69.24%,44864-38.48%
15,2022,,Liew Chin Tong,PH-DAP,96819-59.15%,60036-36.68%
