Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Azalina Othman Said,BN-UMNO,N/A,N/A
12,2008,2013,Azalina Othman Said,BN-UMNO,N/A,N/A
13,2013,2018,Azalina Othman Said,BN-UMNO,26992-83.64%,22508-69.75%
14,2018,2022,Azalina Othman Said,BN-UMNO,21829-67.71%,11417-35.42%
15,2022,,Azalina Othman Said,BN-UMNO,21758-51.98%,5030-12.02%
