Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Baharum Mohamed,BN-UMNO,19628-80.40%,14842-60.80%
12,2008,2013,Baharum Mohamed,BN-UMNO,17979-68.91%,9867-37.82%
13,2013,2018,Anuar Abdul Manap,BN-UMNO,19934-54.08%,3007-8.16%
14,2018,2022,Natrah Ismail,PH-PKR,19559-51.69%,1281-3.38%
15,2022,,Zaliha Mustafa,PH-PKR,18941-39.27%,1734-3.60%
