Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
14,2018,2020,Willie Mongin,PH-PKR,18865-54.65%,4005-11.60%
14.33,2020,2022,Willie Mongin,PN-BERSATU,N/A,N/A
14.66,2022,2022,Willie Mongin,GPS-PBB,N/A,N/A
15,2022,,Willie Mongin,GPS-PBB,29457-57.58%,13338-26.07%
