Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
12,2008,2013,Ahmad Lai Bujang,BN-PBB,8238-64.22%,3648-28.44%
13,2013,2018,Ahmad Lai Bujang,BN-PBB,13348-64.70%,6066-29.40%
14,2018,2018,Lukanisman Awang Sauni,BN-PBB,12214-54.60%,3676-16.43%
14.5,2018,2018,Lukanisman Awang Sauni,GPS-PBB,N/A,N/A
15,2022,,Lukanisman Awang Sauni,GPS-PBB,22150-65.31%,11745-34.63%
