Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
1,1959,1964,Mahima Singh Thaliwal Karam Singh,Alliance-MIC,N/A,N/A
2,1964,1969,Mahima Singh Thaliwal Karam Singh,Alliance-MIC,7911-49.35%,5737-35.79%
3,1971,1974,Soorian Arjunan,DAP,10266-53.89%,3660-19.21%
14,2018,2018,Danyal Balagopal Abdullah,PH-PKR,36225-59.06%,17710-28.87%
14.5,2018,2022,Anwar Ibrahim,PH-PKR,31016-71.32%,23560-54.18%
15,2022,,Aminuddin Harun,PH-PKR,42013-52.40%,23601-29.44%
