Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
14,2018,2022,Ong Kian Ming,PH-DAP,102557-65.60%,68768-43.99%
15,2022,,Syahredzan Johan,PH-DAP,141568-57.95%,69701-28.53%
