Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Tengku Adnan Tengku Mansor,BN-UMNO,4086-88.33%,3546-76.66%
12,2004,2008,Tengku Adnan Tengku Mansor,BN-UMNO,4038-75.59%,2734-51.18%
13,2008,2013,Tengku Adnan Tengku Mansor,BN-UMNO,9943-69.31%,55.41-38.62%
14,2013,2018,Tengku Adnan Tengku Mansor,BN-UMNO,12148-49.47%,3372-13.73%
15,2022,,Mohd Radzi Md Jidin,PN-BERSATU,16002-43.67%,2310-6.30%
