Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Marcus Mojigoh,BN-UPKO,13816-69.78%,7832-39.56%
12,2008,2013,Marcus Mojigoh,BN-UPKO,13737-62.59%,6445-29.36%
13,2013,2018,Marcus Mojigoh,BN-UPKO,17465-60.03%,9507-32.68%
14,2018,2022,Awang Husaini Sahari,PH-PKR,14106-45.81%,2339-7.60%
15,2022,,Shahelmey Yahya,BN-UMNO,16234-39.36%,124-0.30%
