Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
10,1999,2004,Yong Khoon Seng,BN-SUPP,18810-61.86%,8897-29.26%
11,2004,2008,Yong Khoon Seng,BN-SUPP,21155-61.18%7731-22.36%
12,2008,2013,Yong Khoon Seng,BN-SUPP,21866-51.01%,3070-7.13%
13,2013,2018,Julian Tan Kok Ping,DAP,41663-64.20%,18670-28.77%
14,2018,2022,Chong Chieng Jen,PH-DAP,33060-63.70%,14221-27.40%
15,2022,,Chong Chieng Jen,PH-DAP,39310-53.10%,7158-9.71%
