Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Ong Tee Keat,BN-MCA,26721-67.94%-14112-35.88%
12,2008,2013,Ong Tee Keat,BN-MCA,25236-53.12%,2961-6.24%
13,2013,2018,Mohd Rafizi Ramli,PKR,48183-66.87%,26729-37.09%
14,2018,2022,Wan Azizah Wan Ismail,PH-PKR,64733-75.47%,52543-61.26%
15,2022,,Mohd Rafizi Ramli,PH-PKR,74002-63.98%,48296-41.75%
