Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Adnan Wan Mamat,BN-UMNO,25177-69.69%,14229-39.38%
12,2008,2013,Azan Ismail,PKR,19823-51.33%,1027-2.06%
13,2013,2018,Fauzi Abdul Rahman,PKR,30584-56.81%,7523-13.98%
14,2018,2020,Saifuddin Abdullah,PH-PKR,28578-44.85%,10950-17.18%
14.5,2020,2022,Saifuddin Abdullah,PN-BERSATU,N/A,N/A
15,2022,,Saifuddin Abdullah,PN-BERSATU,41692-44.65%,8399-9.00%
