Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Karpal Singh Ram Singh,DAP,22529-51.44%,21268-48.56%
12,2008,2013,Karpal Singh Ram Singh,DAP,35140-71.33%,21015-42.66%
13,2013,2014,Karpal Singh Ram Singh,DAP,56303-80.55%,42706-61.10%
13.5,2014,2018,Ramkarpal Singh Karpal Singh,DAP,41242-89.95%,37659-82.14%
14,2018,2022,Ramkarpal Singh Karpal Singh,PH-DAP,65622-86.68%,55951-73.91%
15,2022,,Ramkarpal Singh Karpal Singh,PH-DAP,71204-82.73%,63112-73.33%
