Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Enchin Majimbun @ Eric, BN-SAPP,16226-76.09%,11128,52.18%
12,2008,2008,Enchin Majimbun @ Eric, BN-SAPP,16884-64.90%,11461-44.06%
12.5,2008,2013,Enchin Majimbun @ Eric, SAPP,N/A,N/A
13,2013,2018,Jumat Idris,BN-UMNO,22845-54.07%,9442-22.35%
14,2018,2022,Azis Jamman,WARISAN,28420-59.47%,12984-27.17%
15,2022,,Mustapha Sakmud,PH-PKR,27022-38.44%,7042-10.02%
