Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Huan Cheng Guan,BN-GERAKAN,17097-53.85,8998-28.64%
12,2008,2013,Ramasamy Palanisamy,DAP,23067-62.94%,9485-25.88%
13,2013,2018,Kasthuriraani Patto,DAP,36636-74.14%,25962-52.54%
14,2018,2022,Kasthuriraani Patoo,PH-DAP,42683-78.02%,33553-61.33%
15,2022,,Chow Kon Yeow,PH-DAP,50744-73.72%,40400-58.69%
