Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
12,2008,2013,Norah Abdul Rahman,BN-PBB,N/A,N/A
13,2013,2018,Norah Abdul Rahman,BN-PBB,12535-88.86%,10964-77.72%
14,2018,2018,Yusuf Abd Wahab,BN-PBB,11402-80.69%,8674-61.39%
14.5,2018,2022,Yusuf Abd Wahab,GPS-PBB,N/A,N/A
15,2022,,Yusuf Abd Wahab,GPS-PBB,16474-86.52%,13908-73.04%
