Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
11,2004,2008,Abdul Ghapur Salleh,BN-UMNO,N/A,N/A
12,2008,2013,Abdul Ghapur Salleh,BN-UMNO,N/A,N/A
13,2013,2018,Abdul Ghapur Salleh,BN-UMNO,23125-65.87%,14221-40.51%
14,2018,2022,Ma'mun Sulaiman,WARISAN,18486-50.09%,3187-8.63%
15,2022,,Andi Muhammad Suryandy Bandy,BN-UMNO,23855-47.68%,9100-18.19%
