Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
9,1995,1999,Azmi Khalid,BN-UMNO,17013-71.02%,10070-42.04%
10,1999,2004,Azmi Khalid,BN-UMNO,14386-59.32%,4519-18.64%
11,2004,2008,Azmi Khalid,BN-UMNO,18323-66.92%,9265-33.84%
12,2008,2013,Azmi Khalid,BN-UMNO,16991-59.34%,5348-18.68%
13,2013,2018,Zahidi Zainul Abidin,BN-UMNO,21473-60.45%,7426-20.90%
14,2018,2022,Zahidi Zainul Abidin,BN-UMNO,15032-41.18%,1438-39.40%
15,2022,,Rushdan Rusmi,PN-PAS,24267-53.58%,12514-27.63%
