Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
14,2018,2022,Sivarasa Rasiah,PH-PKR,43631-55.97%,26634-34.17%
15,2022,,Ramanan Ramakrishnan,PH-PKR,50943-39.30%,2693-2.08%
