Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
12,2008,2013,Wahab Dolah,BN-PBB,N/A,N/A
13,2013,2018,Wahab Dolah,BN-PBB,11896-87.19%,10149-74.38%
14,2018,2018,Ahmad Johnie Zawawi,BN-PBB,10538-83.76%,8495-67.52%
14.5,2018,2022,Ahmad Johnie Zawawi,GPS-PBB,N/A,N/A
15,2022,,Ahmad Johnie Zawawi,GPS-PBB,15824-93.16%,14662-86.32%
